"bill_length_mm","bill_depth_mm","flipper_length_mm","body_mass_g","species"
"(42.3,50.5]","[13.1,16.4]","(206,231]","(4.52e+03,6.3e+03]","Gentoo"
"(42.3,50.5]","[13.1,16.4]","(206,231]","(4.52e+03,6.3e+03]","Gentoo"
"(42.3,50.5]","[13.1,16.4]","(206,231]","(3.22e+03,4.52e+03]","Gentoo"
"(42.3,50.5]","[13.1,16.4]","(206,231]","(4.52e+03,6.3e+03]","Gentoo"
"(42.3,50.5]","[13.1,16.4]","(206,231]","(4.52e+03,6.3e+03]","Gentoo"
"(42.3,50.5]","[13.1,16.4]","(206,231]","(4.52e+03,6.3e+03]","Gentoo"
"(42.3,50.5]","[13.1,16.4]","(206,231]","(3.22e+03,4.52e+03]","Gentoo"
"(42.3,50.5]","[13.1,16.4]","(206,231]","(4.52e+03,6.3e+03]","Gentoo"
"(42.3,50.5]","[13.1,16.4]","(206,231]","(4.52e+03,6.3e+03]","Gentoo"
"(42.3,50.5]","[13.1,16.4]","(206,231]","(4.52e+03,6.3e+03]","Gentoo"
"(42.3,50.5]","[13.1,16.4]","(206,231]","(4.52e+03,6.3e+03]","Gentoo"
"(42.3,50.5]","[13.1,16.4]","(206,231]","(4.52e+03,6.3e+03]","Gentoo"
"(42.3,50.5]","[13.1,16.4]","(206,231]","(4.52e+03,6.3e+03]","Gentoo"
"(50.5,59.6]","(16.8,21.5]","(206,231]","(4.52e+03,6.3e+03]","Gentoo"
"(42.3,50.5]","[13.1,16.4]","(206,231]","(4.52e+03,6.3e+03]","Gentoo"
"(42.3,50.5]","[13.1,16.4]","(206,231]","(4.52e+03,6.3e+03]","Gentoo"
"(42.3,50.5]","[13.1,16.4]","(206,231]","(4.52e+03,6.3e+03]","Gentoo"
"(42.3,50.5]","(16.8,21.5]","(206,231]","(4.52e+03,6.3e+03]","Gentoo"
"(42.3,50.5]","[13.1,16.4]","(206,231]","(3.22e+03,4.52e+03]","Gentoo"
"(42.3,50.5]","[13.1,16.4]","(206,231]","(4.52e+03,6.3e+03]","Gentoo"
"(42.3,50.5]","[13.1,16.4]","(206,231]","(3.22e+03,4.52e+03]","Gentoo"
"(42.3,50.5]","[13.1,16.4]","(206,231]","(4.52e+03,6.3e+03]","Gentoo"
"(42.3,50.5]","[13.1,16.4]","(206,231]","(3.22e+03,4.52e+03]","Gentoo"
"(42.3,50.5]","[13.1,16.4]","(206,231]","(4.52e+03,6.3e+03]","Gentoo"
"(42.3,50.5]","[13.1,16.4]","(206,231]","(4.52e+03,6.3e+03]","Gentoo"
"(42.3,50.5]","[13.1,16.4]","(206,231]","(4.52e+03,6.3e+03]","Gentoo"
"(42.3,50.5]","[13.1,16.4]","(206,231]","(3.22e+03,4.52e+03]","Gentoo"
"(42.3,50.5]","[13.1,16.4]","(206,231]","(4.52e+03,6.3e+03]","Gentoo"
"(42.3,50.5]","[13.1,16.4]","(206,231]","(4.52e+03,6.3e+03]","Gentoo"
"(42.3,50.5]","[13.1,16.4]","(206,231]","(4.52e+03,6.3e+03]","Gentoo"
"(42.3,50.5]","[13.1,16.4]","(206,231]","(4.52e+03,6.3e+03]","Gentoo"
"(42.3,50.5]","[13.1,16.4]","(206,231]","(4.52e+03,6.3e+03]","Gentoo"
"(42.3,50.5]","[13.1,16.4]","(206,231]","(3.22e+03,4.52e+03]","Gentoo"
"(42.3,50.5]","[13.1,16.4]","(206,231]","(4.52e+03,6.3e+03]","Gentoo"
"(42.3,50.5]","[13.1,16.4]","(206,231]","(4.52e+03,6.3e+03]","Gentoo"
"(42.3,50.5]","[13.1,16.4]","(206,231]","(4.52e+03,6.3e+03]","Gentoo"
"(42.3,50.5]","[13.1,16.4]","(206,231]","(3.22e+03,4.52e+03]","Gentoo"
"(42.3,50.5]","[13.1,16.4]","(206,231]","(4.52e+03,6.3e+03]","Gentoo"
"(42.3,50.5]","[13.1,16.4]","(206,231]","(3.22e+03,4.52e+03]","Gentoo"
"(42.3,50.5]","[13.1,16.4]","(206,231]","(4.52e+03,6.3e+03]","Gentoo"
"(42.3,50.5]","[13.1,16.4]","(206,231]","(3.22e+03,4.52e+03]","Gentoo"
"(42.3,50.5]","[13.1,16.4]","(206,231]","(4.52e+03,6.3e+03]","Gentoo"
"(42.3,50.5]","[13.1,16.4]","(206,231]","(3.22e+03,4.52e+03]","Gentoo"
"(50.5,59.6]","[13.1,16.4]","(206,231]","(4.52e+03,6.3e+03]","Gentoo"
"(42.3,50.5]","[13.1,16.4]","(206,231]","(4.52e+03,6.3e+03]","Gentoo"
"(42.3,50.5]","(16.8,21.5]","(206,231]","(4.52e+03,6.3e+03]","Gentoo"
"(42.3,50.5]","[13.1,16.4]","(206,231]","(4.52e+03,6.3e+03]","Gentoo"
"(42.3,50.5]","[13.1,16.4]","(206,231]","(4.52e+03,6.3e+03]","Gentoo"
"(42.3,50.5]","[13.1,16.4]","(206,231]","(4.52e+03,6.3e+03]","Gentoo"
"(50.5,59.6]","[13.1,16.4]","(206,231]","(4.52e+03,6.3e+03]","Gentoo"
"(42.3,50.5]","[13.1,16.4]","(206,231]","(4.52e+03,6.3e+03]","Gentoo"
"(42.3,50.5]","[13.1,16.4]","(206,231]","(4.52e+03,6.3e+03]","Gentoo"
"(42.3,50.5]","[13.1,16.4]","(206,231]","(4.52e+03,6.3e+03]","Gentoo"
"(42.3,50.5]","[13.1,16.4]","(206,231]","(4.52e+03,6.3e+03]","Gentoo"
"(42.3,50.5]","[13.1,16.4]","(206,231]","(4.52e+03,6.3e+03]","Gentoo"
"(42.3,50.5]","[13.1,16.4]","(206,231]","(4.52e+03,6.3e+03]","Gentoo"
"(42.3,50.5]","[13.1,16.4]","(206,231]","(4.52e+03,6.3e+03]","Gentoo"
"(50.5,59.6]","[13.1,16.4]","(206,231]","(4.52e+03,6.3e+03]","Gentoo"
"(42.3,50.5]","[13.1,16.4]","(206,231]","(4.52e+03,6.3e+03]","Gentoo"
"(42.3,50.5]","[13.1,16.4]","(206,231]","(4.52e+03,6.3e+03]","Gentoo"
"(42.3,50.5]","[13.1,16.4]","(206,231]","(4.52e+03,6.3e+03]","Gentoo"
"(50.5,59.6]","[13.1,16.4]","(206,231]","(4.52e+03,6.3e+03]","Gentoo"
"(42.3,50.5]","[13.1,16.4]","(206,231]","(4.52e+03,6.3e+03]","Gentoo"
"(42.3,50.5]","[13.1,16.4]","(206,231]","(4.52e+03,6.3e+03]","Gentoo"
"(42.3,50.5]","[13.1,16.4]","(206,231]","(4.52e+03,6.3e+03]","Gentoo"
"(50.5,59.6]","(16.8,21.5]","(206,231]","(4.52e+03,6.3e+03]","Gentoo"
"(42.3,50.5]","[13.1,16.4]","(206,231]","(4.52e+03,6.3e+03]","Gentoo"
"(50.5,59.6]","[13.1,16.4]","(206,231]","(4.52e+03,6.3e+03]","Gentoo"
"(42.3,50.5]","[13.1,16.4]","(206,231]","(4.52e+03,6.3e+03]","Gentoo"
"(50.5,59.6]","(16.8,21.5]","(206,231]","(4.52e+03,6.3e+03]","Gentoo"
"(42.3,50.5]","[13.1,16.4]","(206,231]","(4.52e+03,6.3e+03]","Gentoo"
"(50.5,59.6]","(16.8,21.5]","(206,231]","(4.52e+03,6.3e+03]","Gentoo"
"(42.3,50.5]","[13.1,16.4]","(206,231]","(4.52e+03,6.3e+03]","Gentoo"
"(42.3,50.5]","[13.1,16.4]","(206,231]","(4.52e+03,6.3e+03]","Gentoo"
"(42.3,50.5]","[13.1,16.4]","(206,231]","(4.52e+03,6.3e+03]","Gentoo"
"(50.5,59.6]","[13.1,16.4]","(206,231]","(4.52e+03,6.3e+03]","Gentoo"
"(42.3,50.5]","[13.1,16.4]","(206,231]","(4.52e+03,6.3e+03]","Gentoo"
"(42.3,50.5]","[13.1,16.4]","(206,231]","(4.52e+03,6.3e+03]","Gentoo"
"(42.3,50.5]","[13.1,16.4]","(200,206]","(4.52e+03,6.3e+03]","Gentoo"
"(50.5,59.6]","(16.4,16.8]","(206,231]","(4.52e+03,6.3e+03]","Gentoo"
"(42.3,50.5]","[13.1,16.4]","(206,231]","(4.52e+03,6.3e+03]","Gentoo"
"(50.5,59.6]","(16.8,21.5]","(206,231]","(4.52e+03,6.3e+03]","Gentoo"
"(42.3,50.5]","[13.1,16.4]","(206,231]","(4.52e+03,6.3e+03]","Gentoo"
"(42.3,50.5]","[13.1,16.4]","(206,231]","(4.52e+03,6.3e+03]","Gentoo"
"(42.3,50.5]","[13.1,16.4]","(206,231]","(4.52e+03,6.3e+03]","Gentoo"
"(42.3,50.5]","[13.1,16.4]","(206,231]","(4.52e+03,6.3e+03]","Gentoo"
"[32.1,42.3]","[13.1,16.4]","(206,231]","(4.52e+03,6.3e+03]","Gentoo"
"(50.5,59.6]","[13.1,16.4]","(206,231]","(4.52e+03,6.3e+03]","Gentoo"
"(42.3,50.5]","[13.1,16.4]","(206,231]","(4.52e+03,6.3e+03]","Gentoo"
"(42.3,50.5]","[13.1,16.4]","(206,231]","(4.52e+03,6.3e+03]","Gentoo"
"(42.3,50.5]","[13.1,16.4]","(206,231]","(4.52e+03,6.3e+03]","Gentoo"
"(42.3,50.5]","[13.1,16.4]","(206,231]","(4.52e+03,6.3e+03]","Gentoo"
"(42.3,50.5]","[13.1,16.4]","(206,231]","(4.52e+03,6.3e+03]","Gentoo"
"(50.5,59.6]","[13.1,16.4]","(206,231]","(4.52e+03,6.3e+03]","Gentoo"
"(42.3,50.5]","[13.1,16.4]","(206,231]","(3.22e+03,4.52e+03]","Gentoo"
"(50.5,59.6]","[13.1,16.4]","(206,231]","(4.52e+03,6.3e+03]","Gentoo"
"(42.3,50.5]","[13.1,16.4]","(206,231]","(4.52e+03,6.3e+03]","Gentoo"
"(42.3,50.5]","[13.1,16.4]","(206,231]","(4.52e+03,6.3e+03]","Gentoo"
"(42.3,50.5]","[13.1,16.4]","(206,231]","(4.52e+03,6.3e+03]","Gentoo"
"(42.3,50.5]","[13.1,16.4]","(206,231]","(4.52e+03,6.3e+03]","Gentoo"
"(42.3,50.5]","[13.1,16.4]","(206,231]","(4.52e+03,6.3e+03]","Gentoo"
"(42.3,50.5]","[13.1,16.4]","(206,231]","(4.52e+03,6.3e+03]","Gentoo"
"(42.3,50.5]","[13.1,16.4]","(206,231]","(4.52e+03,6.3e+03]","Gentoo"
"(42.3,50.5]","(16.8,21.5]","[172,200]","(3.22e+03,4.52e+03]","Chinstrap"
"(42.3,50.5]","(16.8,21.5]","[172,200]","(3.22e+03,4.52e+03]","Chinstrap"
"(50.5,59.6]","(16.8,21.5]","[172,200]","(3.22e+03,4.52e+03]","Chinstrap"
"(42.3,50.5]","(16.8,21.5]","[172,200]","(3.22e+03,4.52e+03]","Chinstrap"
"(50.5,59.6]","(16.8,21.5]","[172,200]","(3.22e+03,4.52e+03]","Chinstrap"
"(42.3,50.5]","(16.8,21.5]","[172,200]","(3.22e+03,4.52e+03]","Chinstrap"
"(42.3,50.5]","(16.8,21.5]","[172,200]","(3.22e+03,4.52e+03]","Chinstrap"
"(50.5,59.6]","(16.8,21.5]","[172,200]","(3.22e+03,4.52e+03]","Chinstrap"
"(42.3,50.5]","(16.8,21.5]","[172,200]","(3.22e+03,4.52e+03]","Chinstrap"
"(50.5,59.6]","(16.8,21.5]","[172,200]","(3.22e+03,4.52e+03]","Chinstrap"
"(42.3,50.5]","(16.8,21.5]","[172,200]","(3.22e+03,4.52e+03]","Chinstrap"
"(50.5,59.6]","(16.8,21.5]","[172,200]","(3.22e+03,4.52e+03]","Chinstrap"
"(42.3,50.5]","(16.8,21.5]","[172,200]","(3.22e+03,4.52e+03]","Chinstrap"
"(50.5,59.6]","(16.8,21.5]","(200,206]","(3.22e+03,4.52e+03]","Chinstrap"
"(42.3,50.5]","(16.8,21.5]","[172,200]","(3.22e+03,4.52e+03]","Chinstrap"
"(42.3,50.5]","(16.8,21.5]","(200,206]","(3.22e+03,4.52e+03]","Chinstrap"
"(42.3,50.5]","(16.8,21.5]","[172,200]","(3.22e+03,4.52e+03]","Chinstrap"
"(50.5,59.6]","(16.8,21.5]","[172,200]","(3.22e+03,4.52e+03]","Chinstrap"
"(42.3,50.5]","(16.8,21.5]","[172,200]","(3.22e+03,4.52e+03]","Chinstrap"
"(42.3,50.5]","(16.8,21.5]","[172,200]","(3.22e+03,4.52e+03]","Chinstrap"
"(42.3,50.5]","(16.8,21.5]","[172,200]","(3.22e+03,4.52e+03]","Chinstrap"
"(42.3,50.5]","(16.8,21.5]","[172,200]","(3.22e+03,4.52e+03]","Chinstrap"
"(42.3,50.5]","(16.4,16.8]","[172,200]","[2.7e+03,3.22e+03]","Chinstrap"
"(50.5,59.6]","(16.8,21.5]","[172,200]","(3.22e+03,4.52e+03]","Chinstrap"
"(42.3,50.5]","(16.8,21.5]","[172,200]","(3.22e+03,4.52e+03]","Chinstrap"
"(50.5,59.6]","(16.8,21.5]","[172,200]","(3.22e+03,4.52e+03]","Chinstrap"
"(42.3,50.5]","(16.8,21.5]","(200,206]","(3.22e+03,4.52e+03]","Chinstrap"
"(42.3,50.5]","(16.8,21.5]","(200,206]","(3.22e+03,4.52e+03]","Chinstrap"
"(42.3,50.5]","(16.8,21.5]","[172,200]","(3.22e+03,4.52e+03]","Chinstrap"
"(50.5,59.6]","(16.8,21.5]","(200,206]","(4.52e+03,6.3e+03]","Chinstrap"
"[32.1,42.3]","(16.4,16.8]","[172,200]","[2.7e+03,3.22e+03]","Chinstrap"
"(50.5,59.6]","(16.8,21.5]","(200,206]","(3.22e+03,4.52e+03]","Chinstrap"
"(42.3,50.5]","(16.4,16.8]","[172,200]","(3.22e+03,4.52e+03]","Chinstrap"
"(50.5,59.6]","(16.8,21.5]","(200,206]","(3.22e+03,4.52e+03]","Chinstrap"
"(42.3,50.5]","(16.8,21.5]","[172,200]","(3.22e+03,4.52e+03]","Chinstrap"
"(42.3,50.5]","(16.8,21.5]","[172,200]","(3.22e+03,4.52e+03]","Chinstrap"
"(42.3,50.5]","(16.8,21.5]","[172,200]","(3.22e+03,4.52e+03]","Chinstrap"
"(50.5,59.6]","(16.8,21.5]","(206,231]","(4.52e+03,6.3e+03]","Chinstrap"
"(42.3,50.5]","(16.4,16.8]","[172,200]","[2.7e+03,3.22e+03]","Chinstrap"
"(50.5,59.6]","(16.8,21.5]","(200,206]","(3.22e+03,4.52e+03]","Chinstrap"
"(42.3,50.5]","(16.8,21.5]","(206,231]","(3.22e+03,4.52e+03]","Chinstrap"
"(42.3,50.5]","(16.8,21.5]","[172,200]","(3.22e+03,4.52e+03]","Chinstrap"
"(50.5,59.6]","(16.8,21.5]","[172,200]","(3.22e+03,4.52e+03]","Chinstrap"
"(42.3,50.5]","(16.8,21.5]","[172,200]","(3.22e+03,4.52e+03]","Chinstrap"
"(50.5,59.6]","(16.8,21.5]","[172,200]","(3.22e+03,4.52e+03]","Chinstrap"
"(50.5,59.6]","(16.8,21.5]","(200,206]","(3.22e+03,4.52e+03]","Chinstrap"
"(42.3,50.5]","(16.8,21.5]","[172,200]","(3.22e+03,4.52e+03]","Chinstrap"
"(42.3,50.5]","(16.8,21.5]","(206,231]","(3.22e+03,4.52e+03]","Chinstrap"
"(50.5,59.6]","(16.8,21.5]","[172,200]","(3.22e+03,4.52e+03]","Chinstrap"
"(42.3,50.5]","(16.8,21.5]","[172,200]","(3.22e+03,4.52e+03]","Chinstrap"
"(42.3,50.5]","[13.1,16.4]","[172,200]","(3.22e+03,4.52e+03]","Chinstrap"
"(50.5,59.6]","(16.8,21.5]","(200,206]","(3.22e+03,4.52e+03]","Chinstrap"
"(42.3,50.5]","(16.8,21.5]","[172,200]","(3.22e+03,4.52e+03]","Chinstrap"
"(50.5,59.6]","(16.8,21.5]","(200,206]","(3.22e+03,4.52e+03]","Chinstrap"
"(42.3,50.5]","(16.8,21.5]","[172,200]","(3.22e+03,4.52e+03]","Chinstrap"
"(50.5,59.6]","(16.8,21.5]","[172,200]","(3.22e+03,4.52e+03]","Chinstrap"
"(42.3,50.5]","(16.4,16.8]","[172,200]","(3.22e+03,4.52e+03]","Chinstrap"
"(42.3,50.5]","(16.8,21.5]","(200,206]","(3.22e+03,4.52e+03]","Chinstrap"
"(42.3,50.5]","(16.8,21.5]","(200,206]","(3.22e+03,4.52e+03]","Chinstrap"
"(42.3,50.5]","(16.8,21.5]","[172,200]","(3.22e+03,4.52e+03]","Chinstrap"
"(50.5,59.6]","(16.8,21.5]","(200,206]","(3.22e+03,4.52e+03]","Chinstrap"
"(42.3,50.5]","(16.4,16.8]","[172,200]","(3.22e+03,4.52e+03]","Chinstrap"
"(42.3,50.5]","(16.8,21.5]","[172,200]","(3.22e+03,4.52e+03]","Chinstrap"
"(50.5,59.6]","(16.8,21.5]","(206,231]","(3.22e+03,4.52e+03]","Chinstrap"
"(42.3,50.5]","(16.8,21.5]","(200,206]","(3.22e+03,4.52e+03]","Chinstrap"
"(42.3,50.5]","(16.8,21.5]","[172,200]","(3.22e+03,4.52e+03]","Chinstrap"
"(50.5,59.6]","(16.8,21.5]","(206,231]","(3.22e+03,4.52e+03]","Chinstrap"
"(42.3,50.5]","(16.8,21.5]","[172,200]","(3.22e+03,4.52e+03]","Chinstrap"
