Alcohol,Malicacid,Ash,Alcalinity_of_ash,Magnesium,Total_phenols,Flavanoids,Nonflavanoid_phenols,Proanthocyanins,Color_intensity,Hue,X0D280_0D315_of_diluted_wines,Proline,class
"[11,12.8]","(1.55,2.46]","(2.41,3.23]","(17.9,22.9]","[70,88.5]","(1.84,2.33]","(1.23,2.31]","(0.395,0.66]","(1.31,1.65]","[1.28,3.46]","(0.785,1]","(2.12,3.3]","(512,755]",C2
"[11,12.8]","[0.74,1.55]","(2.25,2.41]","(22.9,30]","[70,88.5]","(1.84,2.33]","(1.23,2.31]","(0.395,0.66]","(1.31,1.65]","[1.28,3.46]","(1,1.71]","(2.12,3.3]","(512,755]",C2
"[11,12.8]","(1.55,2.46]","(2.25,2.41]","(17.9,22.9]","[70,88.5]","[0.98,1.84]","(1.23,2.31]","(0.395,0.66]","(1.31,1.65]","[1.28,3.46]","(1,1.71]","(2.12,3.3]","[278,512]",C2
"[11,12.8]","[0.74,1.55]","(2.41,3.23]","(17.9,22.9]","[70,88.5]","[0.98,1.84]","(1.23,2.31]","(0.395,0.66]","(1.31,1.65]","(3.46,7.55]","(1,1.71]","(2.12,3.3]","[278,512]",C2
"[11,12.8]","[0.74,1.55]","(2.25,2.41]","(17.9,22.9]","[70,88.5]","[0.98,1.84]","(1.23,2.31]","(0.395,0.66]","(1.31,1.65]","[1.28,3.46]","(0.785,1]","[1.27,2.12]","[278,512]",C2
"[11,12.8]","(2.46,5.8]","[1.36,2.25]","(17.9,22.9]","[70,88.5]","(2.33,3.88]","(1.23,2.31]","[0.13,0.345]","(1.65,3.58]","[1.28,3.46]","(1,1.71]","(2.12,3.3]","[278,512]",C2
"[11,12.8]","(1.55,2.46]","(2.25,2.41]","(17.9,22.9]","(88.5,133]","(2.33,3.88]","(1.23,2.31]","[0.13,0.345]","(1.31,1.65]","[1.28,3.46]","(1,1.71]","(2.12,3.3]","[278,512]",C2
"[11,12.8]","[0.74,1.55]","[1.36,2.25]","(17.9,22.9]","(133,162]","(2.33,3.88]","(1.23,2.31]","[0.13,0.345]","(1.65,3.58]","[1.28,3.46]","(1,1.71]","(2.12,3.3]","(755,1.68e+03]",C2
"[11,12.8]","(1.55,2.46]","(2.41,3.23]","(17.9,22.9]","(133,162]","[0.98,1.84]","[0.34,1.23]","[0.13,0.345]","(1.31,1.65]","[1.28,3.46]","(0.785,1]","(2.12,3.3]","(512,755]",C2
"[11,12.8]","[0.74,1.55]","[1.36,2.25]","[10.6,17.9]","[70,88.5]","(2.33,3.88]","(2.31,5.08]","[0.13,0.345]","(1.65,3.58]","[1.28,3.46]","(1,1.71]","(2.12,3.3]","[278,512]",C2
"[11,12.8]","[0.74,1.55]","[1.36,2.25]","(17.9,22.9]","[70,88.5]","(2.33,3.88]","(2.31,5.08]","[0.13,0.345]","(1.65,3.58]","(3.46,7.55]","(1,1.71]","(2.12,3.3]","(512,755]",C2
"[11,12.8]","(2.46,5.8]","[1.36,2.25]","(17.9,22.9]","[70,88.5]","(2.33,3.88]","(2.31,5.08]","(0.395,0.66]","(1.65,3.58]","[1.28,3.46]","(1,1.71]","(2.12,3.3]","[278,512]",C2
"[11,12.8]","(1.55,2.46]","[1.36,2.25]","[10.6,17.9]","(88.5,133]","(1.84,2.33]","(1.23,2.31]","[0.13,0.345]","(1.31,1.65]","[1.28,3.46]","(1,1.71]","(2.12,3.3]","(512,755]",C2
"[11,12.8]","[0.74,1.55]","[1.36,2.25]","(17.9,22.9]","[70,88.5]","[0.98,1.84]","(1.23,2.31]","[0.13,0.345]","(1.31,1.65]","[1.28,3.46]","(1,1.71]","(2.12,3.3]","(512,755]",C2
"[11,12.8]","(1.55,2.46]","(2.41,3.23]","(17.9,22.9]","(88.5,133]","(2.33,3.88]","(1.23,2.31]","[0.13,0.345]","(1.31,1.65]","[1.28,3.46]","(0.785,1]","(3.3,4]","[278,512]",C2
"[11,12.8]","(1.55,2.46]","[1.36,2.25]","(17.9,22.9]","[70,88.5]","(2.33,3.88]","(1.23,2.31]","(0.345,0.395]","(1.31,1.65]","[1.28,3.46]","(0.785,1]","(2.12,3.3]","[278,512]",C2
"[11,12.8]","(1.55,2.46]","[1.36,2.25]","(17.9,22.9]","[70,88.5]","(1.84,2.33]","(1.23,2.31]","[0.13,0.345]","(1.31,1.65]","[1.28,3.46]","(1,1.71]","(3.3,4]","(512,755]",C2
"[11,12.8]","(2.46,5.8]","(2.25,2.41]","(17.9,22.9]","(88.5,133]","[0.98,1.84]","(1.23,2.31]","(0.395,0.66]","(1.31,1.65]","[1.28,3.46]","(0.785,1]","(2.12,3.3]","[278,512]",C2
"[11,12.8]","(1.55,2.46]","[1.36,2.25]","(17.9,22.9]","[70,88.5]","[0.98,1.84]","(1.23,2.31]","(0.345,0.395]","(1.31,1.65]","[1.28,3.46]","(0.785,1]","(2.12,3.3]","[278,512]",C2
"[11,12.8]","(1.55,2.46]","(2.25,2.41]","(17.9,22.9]","[70,88.5]","[0.98,1.84]","(1.23,2.31]","(0.395,0.66]","(1.31,1.65]","[1.28,3.46]","(0.785,1]","(2.12,3.3]","[278,512]",C2
"[11,12.8]","[0.74,1.55]","[1.36,2.25]","(17.9,22.9]","(88.5,133]","(2.33,3.88]","(1.23,2.31]","(0.345,0.395]","(1.65,3.58]","[1.28,3.46]","(0.785,1]","(2.12,3.3]","[278,512]",C2
"[11,12.8]","[0.74,1.55]","(2.41,3.23]","(17.9,22.9]","(88.5,133]","(2.33,3.88]","(2.31,5.08]","[0.13,0.345]","(1.65,3.58]","[1.28,3.46]","(0.785,1]","(2.12,3.3]","(512,755]",C2
"[11,12.8]","(2.46,5.8]","[1.36,2.25]","(17.9,22.9]","(88.5,133]","(2.33,3.88]","(2.31,5.08]","[0.13,0.345]","(1.65,3.58]","[1.28,3.46]","[0.48,0.785]","(2.12,3.3]","(512,755]",C2
"[11,12.8]","(1.55,2.46]","[1.36,2.25]","(17.9,22.9]","[70,88.5]","(2.33,3.88]","(1.23,2.31]","[0.13,0.345]","[0.41,1.31]","[1.28,3.46]","(0.785,1]","(2.12,3.3]","[278,512]",C2
"[11,12.8]","(2.46,5.8]","(2.41,3.23]","(17.9,22.9]","(88.5,133]","[0.98,1.84]","(1.23,2.31]","(0.395,0.66]","[0.41,1.31]","(3.46,7.55]","(1,1.71]","(2.12,3.3]","(512,755]",C2
"[11,12.8]","[0.74,1.55]","(2.41,3.23]","(17.9,22.9]","[70,88.5]","(2.33,3.88]","(1.23,2.31]","(0.395,0.66]","(1.31,1.65]","[1.28,3.46]","(1,1.71]","(2.12,3.3]","[278,512]",C2
"[11,12.8]","[0.74,1.55]","(2.41,3.23]","(17.9,22.9]","[70,88.5]","(2.33,3.88]","(1.23,2.31]","(0.395,0.66]","[0.41,1.31]","[1.28,3.46]","(0.785,1]","(2.12,3.3]","[278,512]",C2
"[11,12.8]","[0.74,1.55]","[1.36,2.25]","(17.9,22.9]","[70,88.5]","(2.33,3.88]","(1.23,2.31]","(0.395,0.66]","(1.65,3.58]","[1.28,3.46]","(1,1.71]","(2.12,3.3]","[278,512]",C2
"[11,12.8]","[0.74,1.55]","[1.36,2.25]","(17.9,22.9]","[70,88.5]","(1.84,2.33]","(1.23,2.31]","[0.13,0.345]","(1.31,1.65]","[1.28,3.46]","(0.785,1]","(3.3,4]","[278,512]",C2
"[11,12.8]","(1.55,2.46]","[1.36,2.25]","(17.9,22.9]","(88.5,133]","(1.84,2.33]","(1.23,2.31]","[0.13,0.345]","(1.31,1.65]","[1.28,3.46]","(1,1.71]","(2.12,3.3]","[278,512]",C2
"[11,12.8]","(2.46,5.8]","[1.36,2.25]","[10.6,17.9]","[70,88.5]","[0.98,1.84]","(1.23,2.31]","(0.395,0.66]","[0.41,1.31]","[1.28,3.46]","[0.48,0.785]","(2.12,3.3]","[278,512]",C2
"[11,12.8]","(2.46,5.8]","[1.36,2.25]","(17.9,22.9]","[70,88.5]","(1.84,2.33]","(1.23,2.31]","(0.345,0.395]","(1.65,3.58]","[1.28,3.46]","(0.785,1]","(2.12,3.3]","(512,755]",C2
"[11,12.8]","(1.55,2.46]","(2.41,3.23]","(17.9,22.9]","(88.5,133]","(2.33,3.88]","(2.31,5.08]","[0.13,0.345]","(1.65,3.58]","[1.28,3.46]","(0.785,1]","(3.3,4]","(512,755]",C2
"[11,12.8]","(1.55,2.46]","(2.41,3.23]","(22.9,30]","(88.5,133]","(2.33,3.88]","(2.31,5.08]","(0.395,0.66]","(1.65,3.58]","(3.46,7.55]","(0.785,1]","(3.3,4]","[278,512]",C2
"[11,12.8]","(2.46,5.8]","(2.41,3.23]","(22.9,30]","(88.5,133]","(1.84,2.33]","(1.23,2.31]","(0.395,0.66]","(1.65,3.58]","[1.28,3.46]","(0.785,1]","(2.12,3.3]","[278,512]",C2
"(13,14.8]","(2.46,5.8]","[1.36,2.25]","(17.9,22.9]","[70,88.5]","(2.33,3.88]","(2.31,5.08]","[0.13,0.345]","(1.65,3.58]","[1.28,3.46]","[0.48,0.785]","(2.12,3.3]","[278,512]",C2
"[11,12.8]","(2.46,5.8]","(2.25,2.41]","(17.9,22.9]","[70,88.5]","(2.33,3.88]","(2.31,5.08]","[0.13,0.345]","(1.65,3.58]","[1.28,3.46]","[0.48,0.785]","(3.3,4]","[278,512]",C2
"[11,12.8]","(1.55,2.46]","[1.36,2.25]","(17.9,22.9]","[70,88.5]","(2.33,3.88]","(2.31,5.08]","(0.345,0.395]","(1.31,1.65]","[1.28,3.46]","(0.785,1]","(2.12,3.3]","[278,512]",C2
"[11,12.8]","[0.74,1.55]","(2.25,2.41]","(17.9,22.9]","[70,88.5]","(2.33,3.88]","(2.31,5.08]","(0.345,0.395]","(1.65,3.58]","(3.46,7.55]","[0.48,0.785]","(2.12,3.3]","[278,512]",C2
"[11,12.8]","(1.55,2.46]","(2.41,3.23]","(22.9,30]","(88.5,133]","(1.84,2.33]","(1.23,2.31]","(0.395,0.66]","(1.65,3.58]","[1.28,3.46]","(0.785,1]","(2.12,3.3]","[278,512]",C2
"[11,12.8]","(1.55,2.46]","(2.25,2.41]","(22.9,30]","[70,88.5]","(1.84,2.33]","(2.31,5.08]","(0.395,0.66]","(1.65,3.58]","[1.28,3.46]","(0.785,1]","(2.12,3.3]","[278,512]",C2
"[11,12.8]","(2.46,5.8]","(2.25,2.41]","(17.9,22.9]","[70,88.5]","(1.84,2.33]","(1.23,2.31]","(0.395,0.66]","(1.31,1.65]","[1.28,3.46]","(0.785,1]","(2.12,3.3]","(512,755]",C2
"(12.8,13]","[0.74,1.55]","(2.25,2.41]","(17.9,22.9]","(88.5,133]","[0.98,1.84]","(1.23,2.31]","[0.13,0.345]","[0.41,1.31]","(3.46,7.55]","[0.48,0.785]","[1.27,2.12]","(512,755]",C3
"(12.8,13]","(2.46,5.8]","(2.25,2.41]","(17.9,22.9]","(88.5,133]","[0.98,1.84]","[0.34,1.23]","[0.13,0.345]","[0.41,1.31]","(3.46,7.55]","[0.48,0.785]","[1.27,2.12]","(512,755]",C3
"(12.8,13]","(1.55,2.46]","(2.25,2.41]","(22.9,30]","(88.5,133]","[0.98,1.84]","[0.34,1.23]","[0.13,0.345]","[0.41,1.31]","(3.46,7.55]","[0.48,0.785]","[1.27,2.12]","(512,755]",C3
"[11,12.8]","(2.46,5.8]","(2.25,2.41]","(17.9,22.9]","(88.5,133]","[0.98,1.84]","[0.34,1.23]","[0.13,0.345]","[0.41,1.31]","(3.46,7.55]","[0.48,0.785]","[1.27,2.12]","(512,755]",C3
"[11,12.8]","[0.74,1.55]","(2.25,2.41]","[10.6,17.9]","[70,88.5]","(1.84,2.33]","[0.34,1.23]","(0.395,0.66]","[0.41,1.31]","(3.46,7.55]","[0.48,0.785]","[1.27,2.12]","(512,755]",C3
"[11,12.8]","(2.46,5.8]","[1.36,2.25]","(17.9,22.9]","(88.5,133]","[0.98,1.84]","[0.34,1.23]","(0.395,0.66]","[0.41,1.31]","(3.46,7.55]","[0.48,0.785]","[1.27,2.12]","(512,755]",C3
"[11,12.8]","(2.46,5.8]","(2.41,3.23]","(17.9,22.9]","(88.5,133]","[0.98,1.84]","[0.34,1.23]","(0.395,0.66]","[0.41,1.31]","(3.46,7.55]","[0.48,0.785]","[1.27,2.12]","(512,755]",C3
"[11,12.8]","(2.46,5.8]","(2.41,3.23]","(22.9,30]","(88.5,133]","[0.98,1.84]","[0.34,1.23]","(0.395,0.66]","[0.41,1.31]","(3.46,7.55]","(0.785,1]","[1.27,2.12]","(512,755]",C3
"(13,14.8]","(2.46,5.8]","[1.36,2.25]","(17.9,22.9]","[70,88.5]","[0.98,1.84]","[0.34,1.23]","(0.395,0.66]","[0.41,1.31]","(3.46,7.55]","(0.785,1]","[1.27,2.12]","(512,755]",C3
"(12.8,13]","(2.46,5.8]","(2.41,3.23]","(22.9,30]","(88.5,133]","(1.84,2.33]","[0.34,1.23]","(0.395,0.66]","[0.41,1.31]","(3.46,7.55]","(0.785,1]","(2.12,3.3]","(512,755]",C3
"(12.8,13]","(2.46,5.8]","(2.41,3.23]","(17.9,22.9]","(88.5,133]","[0.98,1.84]","[0.34,1.23]","(0.395,0.66]","[0.41,1.31]","(3.46,7.55]","[0.48,0.785]","(2.12,3.3]","(512,755]",C3
"(13,14.8]","(2.46,5.8]","(2.25,2.41]","(17.9,22.9]","(88.5,133]","[0.98,1.84]","[0.34,1.23]","(0.345,0.395]","[0.41,1.31]","(3.46,7.55]","[0.48,0.785]","(2.12,3.3]","(755,1.68e+03]",C3
"(13,14.8]","(2.46,5.8]","(2.41,3.23]","(22.9,30]","(88.5,133]","[0.98,1.84]","[0.34,1.23]","(0.395,0.66]","[0.41,1.31]","(3.46,7.55]","(0.785,1]","[1.27,2.12]","(512,755]",C3
"(13,14.8]","(2.46,5.8]","(2.25,2.41]","(17.9,22.9]","(88.5,133]","(1.84,2.33]","[0.34,1.23]","(0.395,0.66]","[0.41,1.31]","(3.46,7.55]","(0.785,1]","[1.27,2.12]","(512,755]",C3
"[11,12.8]","(2.46,5.8]","[1.36,2.25]","(17.9,22.9]","(88.5,133]","[0.98,1.84]","[0.34,1.23]","[0.13,0.345]","[0.41,1.31]","(7.55,13]","[0.48,0.785]","[1.27,2.12]","(755,1.68e+03]",C3
"(13,14.8]","(2.46,5.8]","[1.36,2.25]","(17.9,22.9]","(88.5,133]","[0.98,1.84]","[0.34,1.23]","(0.395,0.66]","[0.41,1.31]","(3.46,7.55]","[0.48,0.785]","[1.27,2.12]","(755,1.68e+03]",C3
"(13,14.8]","(2.46,5.8]","[1.36,2.25]","(17.9,22.9]","[70,88.5]","[0.98,1.84]","[0.34,1.23]","(0.395,0.66]","[0.41,1.31]","(3.46,7.55]","[0.48,0.785]","[1.27,2.12]","[278,512]",C3
"(12.8,13]","(2.46,5.8]","(2.41,3.23]","(17.9,22.9]","[70,88.5]","[0.98,1.84]","[0.34,1.23]","(0.395,0.66]","[0.41,1.31]","(7.55,13]","[0.48,0.785]","[1.27,2.12]","(512,755]",C3
"(13,14.8]","(2.46,5.8]","(2.25,2.41]","(17.9,22.9]","(88.5,133]","(1.84,2.33]","[0.34,1.23]","(0.395,0.66]","[0.41,1.31]","(7.55,13]","[0.48,0.785]","[1.27,2.12]","(512,755]",C3
"(13,14.8]","(2.46,5.8]","(2.25,2.41]","(17.9,22.9]","(88.5,133]","[0.98,1.84]","(1.23,2.31]","[0.13,0.345]","[0.41,1.31]","(7.55,13]","[0.48,0.785]","[1.27,2.12]","(512,755]",C3
"(13,14.8]","(2.46,5.8]","(2.41,3.23]","(22.9,30]","(88.5,133]","[0.98,1.84]","(1.23,2.31]","[0.13,0.345]","[0.41,1.31]","(7.55,13]","[0.48,0.785]","[1.27,2.12]","[278,512]",C3
"(12.8,13]","(2.46,5.8]","(2.41,3.23]","(17.9,22.9]","(88.5,133]","[0.98,1.84]","(1.23,2.31]","[0.13,0.345]","[0.41,1.31]","(7.55,13]","[0.48,0.785]","[1.27,2.12]","[278,512]",C3
"(13,14.8]","(1.55,2.46]","(2.41,3.23]","(22.9,30]","(88.5,133]","(1.84,2.33]","(1.23,2.31]","[0.13,0.345]","(1.31,1.65]","(3.46,7.55]","[0.48,0.785]","[1.27,2.12]","[278,512]",C3
"(13,14.8]","(2.46,5.8]","(2.25,2.41]","(17.9,22.9]","(88.5,133]","[0.98,1.84]","[0.34,1.23]","(0.395,0.66]","(1.65,3.58]","(7.55,13]","[0.48,0.785]","[1.27,2.12]","(512,755]",C3
"[11,12.8]","[0.74,1.55]","[1.36,2.25]","(17.9,22.9]","(88.5,133]","[0.98,1.84]","[0.34,1.23]","(0.395,0.66]","(1.31,1.65]","(7.55,13]","[0.48,0.785]","[1.27,2.12]","(512,755]",C3
"(13,14.8]","(2.46,5.8]","(2.25,2.41]","(17.9,22.9]","(88.5,133]","[0.98,1.84]","[0.34,1.23]","(0.395,0.66]","(1.31,1.65]","(7.55,13]","[0.48,0.785]","[1.27,2.12]","(512,755]",C3
"(13,14.8]","(2.46,5.8]","(2.25,2.41]","(17.9,22.9]","(88.5,133]","[0.98,1.84]","[0.34,1.23]","(0.395,0.66]","(1.31,1.65]","(7.55,13]","[0.48,0.785]","[1.27,2.12]","[278,512]",C3
"[11,12.8]","(2.46,5.8]","(2.41,3.23]","(22.9,30]","(88.5,133]","(1.84,2.33]","[0.34,1.23]","(0.395,0.66]","[0.41,1.31]","(3.46,7.55]","[0.48,0.785]","[1.27,2.12]","(755,1.68e+03]",C3
"(13,14.8]","(1.55,2.46]","(2.41,3.23]","(22.9,30]","(88.5,133]","(2.33,3.88]","(1.23,2.31]","(0.395,0.66]","(1.65,3.58]","(7.55,13]","[0.48,0.785]","[1.27,2.12]","(512,755]",C3
"(13,14.8]","(1.55,2.46]","(2.41,3.23]","(17.9,22.9]","(88.5,133]","(2.33,3.88]","[0.34,1.23]","(0.395,0.66]","(1.65,3.58]","(7.55,13]","[0.48,0.785]","[1.27,2.12]","(512,755]",C3
"[11,12.8]","(2.46,5.8]","(2.25,2.41]","(17.9,22.9]","[70,88.5]","(1.84,2.33]","[0.34,1.23]","(0.395,0.66]","[0.41,1.31]","(7.55,13]","[0.48,0.785]","[1.27,2.12]","(512,755]",C3
"(13,14.8]","(2.46,5.8]","(2.41,3.23]","(17.9,22.9]","(88.5,133]","[0.98,1.84]","[0.34,1.23]","(0.395,0.66]","[0.41,1.31]","(3.46,7.55]","(0.785,1]","[1.27,2.12]","(512,755]",C3
"(12.8,13]","(2.46,5.8]","(2.41,3.23]","(17.9,22.9]","(88.5,133]","[0.98,1.84]","[0.34,1.23]","(0.395,0.66]","[0.41,1.31]","(3.46,7.55]","(0.785,1]","[1.27,2.12]","(512,755]",C3
"(12.8,13]","(2.46,5.8]","(2.25,2.41]","(17.9,22.9]","(88.5,133]","[0.98,1.84]","[0.34,1.23]","(0.395,0.66]","[0.41,1.31]","(3.46,7.55]","[0.48,0.785]","[1.27,2.12]","(512,755]",C3
"(13,14.8]","(2.46,5.8]","(2.25,2.41]","(17.9,22.9]","(88.5,133]","[0.98,1.84]","[0.34,1.23]","(0.395,0.66]","[0.41,1.31]","(7.55,13]","[0.48,0.785]","[1.27,2.12]","(512,755]",C3
"(13,14.8]","(2.46,5.8]","(2.25,2.41]","(17.9,22.9]","[70,88.5]","[0.98,1.84]","[0.34,1.23]","(0.395,0.66]","[0.41,1.31]","(3.46,7.55]","[0.48,0.785]","[1.27,2.12]","(512,755]",C3
"(13,14.8]","(2.46,5.8]","(2.41,3.23]","(22.9,30]","(88.5,133]","[0.98,1.84]","[0.34,1.23]","(0.395,0.66]","(1.31,1.65]","(7.55,13]","(0.785,1]","[1.27,2.12]","(512,755]",C3
"(12.8,13]","(2.46,5.8]","(2.25,2.41]","(17.9,22.9]","[70,88.5]","[0.98,1.84]","[0.34,1.23]","(0.395,0.66]","[0.41,1.31]","(7.55,13]","[0.48,0.785]","[1.27,2.12]","(512,755]",C3
"(13,14.8]","(2.46,5.8]","(2.41,3.23]","(22.9,30]","(88.5,133]","[0.98,1.84]","[0.34,1.23]","(0.345,0.395]","(1.31,1.65]","(7.55,13]","[0.48,0.785]","[1.27,2.12]","(512,755]",C3
"(13,14.8]","(2.46,5.8]","(2.41,3.23]","(22.9,30]","(88.5,133]","(1.84,2.33]","[0.34,1.23]","[0.13,0.345]","[0.41,1.31]","(7.55,13]","[0.48,0.785]","[1.27,2.12]","(512,755]",C3
"[11,12.8]","(2.46,5.8]","(2.25,2.41]","(17.9,22.9]","(88.5,133]","[0.98,1.84]","[0.34,1.23]","(0.395,0.66]","[0.41,1.31]","(3.46,7.55]","[0.48,0.785]","[1.27,2.12]","[278,512]",C3
"[11,12.8]","(1.55,2.46]","(2.25,2.41]","(17.9,22.9]","[70,88.5]","[0.98,1.84]","[0.34,1.23]","(0.395,0.66]","[0.41,1.31]","(7.55,13]","[0.48,0.785]","[1.27,2.12]","[278,512]",C3
"(13,14.8]","(2.46,5.8]","(2.41,3.23]","(17.9,22.9]","(88.5,133]","[0.98,1.84]","[0.34,1.23]","(0.395,0.66]","[0.41,1.31]","(7.55,13]","[0.48,0.785]","[1.27,2.12]","(512,755]",C3
"(13,14.8]","(2.46,5.8]","(2.41,3.23]","(17.9,22.9]","(88.5,133]","[0.98,1.84]","[0.34,1.23]","(0.395,0.66]","[0.41,1.31]","(7.55,13]","[0.48,0.785]","[1.27,2.12]","(512,755]",C3
"(13,14.8]","(2.46,5.8]","(2.41,3.23]","(22.9,30]","(88.5,133]","[0.98,1.84]","[0.34,1.23]","(0.395,0.66]","(1.31,1.65]","(3.46,7.55]","[0.48,0.785]","[1.27,2.12]","(512,755]",C3
"(13,14.8]","(2.46,5.8]","(2.25,2.41]","(17.9,22.9]","(88.5,133]","[0.98,1.84]","[0.34,1.23]","(0.395,0.66]","(1.31,1.65]","(7.55,13]","[0.48,0.785]","[1.27,2.12]","(755,1.68e+03]",C3
"(13,14.8]","(2.46,5.8]","(2.25,2.41]","(17.9,22.9]","(88.5,133]","[0.98,1.84]","[0.34,1.23]","(0.395,0.66]","(1.31,1.65]","(7.55,13]","[0.48,0.785]","[1.27,2.12]","(755,1.68e+03]",C3
"(13,14.8]","(2.46,5.8]","(2.41,3.23]","(22.9,30]","(88.5,133]","(1.84,2.33]","[0.34,1.23]","(0.395,0.66]","(1.31,1.65]","(7.55,13]","[0.48,0.785]","[1.27,2.12]","(512,755]",C3
