"RI","Na","Mg","Al","Si","K","Ca","Ba","Fe","Class"
"(1.524,1.534]","[10.7,12.4]","[0,0.165]","(1.92,2.95]","[69.8,71.3]","(0.085,0.605]","(12.9,16.2]","(3.01,3.15]","(0.115,0.36]",2
"(1.524,1.534]","[10.7,12.4]","[0,0.165]","[0.29,1.405]","[69.8,71.3]","(0.085,0.605]","(12.9,16.2]","[0,0.255]","(0.115,0.36]",2
"(1.519,1.524]","(14.1,17.4]","[0,0.165]","[0.29,1.405]","(72.1,72.9]","(0.085,0.605]","(11.2,12.9]","[0,0.255]","(0.075,0.105]",2
"(1.518,1.519]","(13.5,14.1]","[0,0.165]","[0.29,1.405]","(73.3,75.4]","[0,0.055]","(10.4,11.2]","[0,0.255]","[0,0.075]",2
"(1.524,1.534]","[10.7,12.4]","[0,0.165]","[0.29,1.405]","(73,73.3]","[0,0.055]","(12.9,16.2]","[0,0.255]","[0,0.075]",2
"(1.524,1.534]","[10.7,12.4]","[0,0.165]","[0.29,1.405]","(73,73.3]","[0,0.055]","(12.9,16.2]","[0,0.255]","[0,0.075]",2
"(1.524,1.534]","(12.4,12.9]","[0,0.165]","[0.29,1.405]","(71.3,72.1]","(0.055,0.085]","(12.9,16.2]","[0,0.255]","[0,0.075]",2
"(1.518,1.519]","(13,13.5]","(3.34,3.87]","[0.29,1.405]","(72.1,72.9]","(0.085,0.605]","(7.02,8.32]","[0,0.255]","(0.115,0.36]",2
"(1.518,1.519]","(13,13.5]","(3.87,4.49]","[0.29,1.405]","(72.1,72.9]","(0.085,0.605]","(8.32,10.4]","[0,0.255]","[0,0.075]",2
"(1.518,1.519]","(13,13.5]","(3.87,4.49]","[0.29,1.405]","(72.1,72.9]","(0.085,0.605]","(7.02,8.32]","[0,0.255]","[0,0.075]",2
"(1.518,1.519]","(13,13.5]","(3.87,4.49]","(1.405,1.555]","(72.1,72.9]","(0.085,0.605]","(7.02,8.32]","[0,0.255]","(0.075,0.105]",2
"(1.516,1.517]","(13.5,14.1]","(3.34,3.87]","(1.565,1.92]","(71.3,72.1]","(0.605,1.25]","(7.02,8.32]","[0,0.255]","[0,0.075]",2
"(1.516,1.517]","(13,13.5]","(3.34,3.87]","(1.405,1.555]","(72.1,72.9]","(0.605,1.25]","(7.02,8.32]","[0,0.255]","(0.115,0.36]",2
"(1.516,1.517]","(13.5,14.1]","(3.34,3.87]","(1.405,1.555]","(72.1,72.9]","(0.605,1.25]","(7.02,8.32]","[0,0.255]","[0,0.075]",2
"(1.518,1.519]","(13,13.5]","(3.34,3.87]","[0.29,1.405]","(72.1,72.9]","(0.085,0.605]","(8.32,10.4]","[0,0.255]","[0,0.075]",2
"(1.516,1.517]","(12.9,13]","(3.34,3.87]","(1.565,1.92]","(72.9,73]","(0.605,1.25]","(7.02,8.32]","[0,0.255]","(0.115,0.36]",2
"(1.516,1.517]","(13,13.5]","(3.34,3.87]","(1.405,1.555]","(72.1,72.9]","(0.085,0.605]","(7.02,8.32]","[0,0.255]","[0,0.075]",2
"(1.516,1.517]","(13.5,14.1]","(3.34,3.87]","(1.565,1.92]","(72.1,72.9]","(0.605,1.25]","(7.02,8.32]","[0,0.255]","[0,0.075]",2
"(1.519,1.524]","(13,13.5]","(3.34,3.87]","[0.29,1.405]","(72.1,72.9]","(0.085,0.605]","(8.32,10.4]","[0,0.255]","[0,0.075]",2
"(1.518,1.519]","(12.9,13]","(3.34,3.87]","(1.555,1.565]","(72.1,72.9]","(0.085,0.605]","(8.32,10.4]","[0,0.255]","(0.115,0.36]",2
"(1.516,1.517]","(12.9,13]","(3.34,3.87]","[0.29,1.405]","(72.1,72.9]","(0.085,0.605]","(8.32,10.4]","[0,0.255]","[0,0.075]",2
"(1.519,1.524]","(13.5,14.1]","(2.14,2.7]","(1.405,1.555]","(71.3,72.1]","(0.085,0.605]","(8.32,10.4]","[0,0.255]","(0.115,0.36]",2
"(1.519,1.524]","(13.5,14.1]","(0.165,2.14]","(1.565,1.92]","(72.1,72.9]","(0.085,0.605]","(8.32,10.4]","(0.255,0.335]","(0.115,0.36]",2
"(1.519,1.524]","(13.5,14.1]","(0.165,2.14]","(1.565,1.92]","(71.3,72.1]","(0.085,0.605]","(10.4,11.2]","[0,0.255]","(0.115,0.36]",2
"(1.519,1.524]","(13.5,14.1]","(0.165,2.14]","[0.29,1.405]","(72.1,72.9]","(0.085,0.605]","(10.4,11.2]","[0,0.255]","[0,0.075]",2
"(1.524,1.534]","(13.5,14.1]","[0,0.165]","[0.29,1.405]","[69.8,71.3]","(0.085,0.605]","(12.9,16.2]","[0,0.255]","(0.075,0.105]",2
"(1.518,1.519]","(13,13.5]","(3.87,4.49]","[0.29,1.405]","(72.1,72.9]","(0.085,0.605]","(7.02,8.32]","[0,0.255]","[0,0.075]",2
"(1.518,1.519]","(13.5,14.1]","(3.87,4.49]","(1.405,1.555]","(71.3,72.1]","(0.085,0.605]","(7.02,8.32]","[0,0.255]","(0.115,0.36]",2
"(1.518,1.519]","(13,13.5]","(3.34,3.87]","[0.29,1.405]","(72.1,72.9]","(0.085,0.605]","(7.02,8.32]","[0,0.255]","[0,0.075]",2
"(1.517,1.518]","(13,13.5]","(3.87,4.49]","[0.29,1.405]","(72.1,72.9]","(0.085,0.605]","(8.32,10.4]","[0,0.255]","(0.115,0.36]",2
"(1.518,1.519]","(13,13.5]","(3.34,3.87]","[0.29,1.405]","(73,73.3]","(0.085,0.605]","(8.32,10.4]","[0,0.255]","(0.115,0.36]",2
"(1.516,1.517]","(12.9,13]","(3.34,3.87]","(1.565,1.92]","(72.9,73]","(0.605,1.25]","(7.02,8.32]","[0,0.255]","[0,0.075]",2
"(1.516,1.517]","(12.4,12.9]","(3.34,3.87]","(1.405,1.555]","(73.3,75.4]","(0.605,1.25]","(7.02,8.32]","[0,0.255]","[0,0.075]",2
"(1.516,1.517]","(12.4,12.9]","(3.34,3.87]","(1.565,1.92]","(73,73.3]","(0.605,1.25]","(7.02,8.32]","[0,0.255]","[0,0.075]",2
"(1.516,1.517]","(13,13.5]","(3.34,3.87]","(1.565,1.92]","(72.1,72.9]","(0.605,1.25]","(7.02,8.32]","[0,0.255]","[0,0.075]",2
"(1.518,1.519]","(13,13.5]","(3.34,3.87]","[0.29,1.405]","(72.1,72.9]","(0.085,0.605]","(8.32,10.4]","[0,0.255]","(0.115,0.36]",2
"(1.516,1.517]","(12.4,12.9]","(3.34,3.87]","(1.405,1.555]","(72.9,73]","(0.605,1.25]","(7.02,8.32]","[0,0.255]","(0.115,0.36]",2
"(1.516,1.517]","(13,13.5]","(3.34,3.87]","(1.565,1.92]","(72.1,72.9]","(0.605,1.25]","(7.02,8.32]","[0,0.255]","[0,0.075]",2
"(1.516,1.517]","(13,13.5]","(2.7,3.34]","[0.29,1.405]","(72.9,73]","(0.085,0.605]","(8.32,10.4]","[0,0.255]","(0.115,0.36]",2
"(1.518,1.519]","(12.4,12.9]","(3.34,3.87]","[0.29,1.405]","(72.1,72.9]","(0.605,1.25]","(8.32,10.4]","[0,0.255]","(0.115,0.36]",2
"(1.517,1.518]","(13.5,14.1]","(3.34,3.87]","[0.29,1.405]","(72.1,72.9]","(0.085,0.605]","(8.32,10.4]","[0,0.255]","[0,0.075]",3
"(1.516,1.517]","(13,13.5]","(3.34,3.87]","[0.29,1.405]","(72.1,72.9]","(0.085,0.605]","(8.32,10.4]","[0,0.255]","[0,0.075]",3
"(1.516,1.517]","(13,13.5]","(3.34,3.87]","[0.29,1.405]","(72.1,72.9]","(0.085,0.605]","(8.32,10.4]","[0,0.255]","(0.075,0.105]",3
"(1.516,1.517]","[10.7,12.4]","(3.34,3.87]","[0.29,1.405]","(72.1,72.9]","(0.085,0.605]","(8.32,10.4]","[0,0.255]","[0,0.075]",3
"(1.516,1.517]","(13,13.5]","(3.34,3.87]","(1.565,1.92]","(72.1,72.9]","(0.085,0.605]","(8.32,10.4]","[0,0.255]","(0.115,0.36]",3
"(1.519,1.524]","(14.1,17.4]","(3.87,4.49]","[0.29,1.405]","(71.3,72.1]","[0,0.055]","(8.32,10.4]","[0,0.255]","[0,0.075]",3
"(1.517,1.518]","(13.5,14.1]","(3.34,3.87]","[0.29,1.405]","(72.9,73]","(0.055,0.085]","(8.32,10.4]","[0,0.255]","[0,0.075]",3
"(1.516,1.517]","(13,13.5]","(3.34,3.87]","[0.29,1.405]","(72.1,72.9]","(0.085,0.605]","(7.02,8.32]","[0,0.255]","[0,0.075]",3
"(1.516,1.517]","(12.4,12.9]","(3.34,3.87]","[0.29,1.405]","(72.1,72.9]","(0.605,1.25]","(8.32,10.4]","[0,0.255]","[0,0.075]",3
"(1.516,1.517]","(13,13.5]","(3.34,3.87]","[0.29,1.405]","(72.9,73]","(0.085,0.605]","(8.32,10.4]","[0,0.255]","[0,0.075]",3
"(1.516,1.517]","(13,13.5]","(3.34,3.87]","[0.29,1.405]","(72.1,72.9]","(0.085,0.605]","(8.32,10.4]","[0,0.255]","[0,0.075]",3
"(1.519,1.524]","(13.5,14.1]","(3.34,3.87]","[0.29,1.405]","(71.3,72.1]","(0.085,0.605]","(8.32,10.4]","[0,0.255]","[0,0.075]",3
"(1.517,1.518]","(13.5,14.1]","(3.34,3.87]","(1.405,1.555]","(71.3,72.1]","(0.085,0.605]","(8.32,10.4]","[0,0.255]","[0,0.075]",3
"(1.517,1.518]","(13.5,14.1]","(3.34,3.87]","(1.565,1.92]","(71.3,72.1]","(0.085,0.605]","(8.32,10.4]","[0,0.255]","(0.075,0.105]",3
"(1.518,1.519]","(13,13.5]","(2.7,3.34]","(1.405,1.555]","(72.1,72.9]","(0.085,0.605]","(8.32,10.4]","[0,0.255]","[0,0.075]",3
"(1.519,1.524]","(13.5,14.1]","(3.34,3.87]","[0.29,1.405]","(72.1,72.9]","(0.085,0.605]","(8.32,10.4]","[0,0.255]","(0.115,0.36]",3
"(1.519,1.524]","(14.1,17.4]","(3.34,3.87]","[0.29,1.405]","(71.3,72.1]","(0.085,0.605]","(8.32,10.4]","[0,0.255]","(0.36,0.44]",3
"[1.511,1.516]","(13.5,14.1]","(2.14,2.7]","(2.95,3.5]","[69.8,71.3]","(1.25,4.46]","[5.43,7.02]","(1.96,2.54]","[0,0.075]",5
"(1.519,1.524]","(12.4,12.9]","(0.165,2.14]","(1.565,1.92]","(72.1,72.9]","(0.085,0.605]","(8.32,10.4]","[0,0.255]","[0,0.075]",5
"(1.519,1.524]","[10.7,12.4]","(0.165,2.14]","(1.555,1.565]","(72.1,72.9]","(0.085,0.605]","(11.2,12.9]","[0,0.255]","[0,0.075]",5
"(1.519,1.524]","[10.7,12.4]","(0.165,2.14]","(1.555,1.565]","(73.3,75.4]","(0.085,0.605]","(11.2,12.9]","[0,0.255]","[0,0.075]",5
"(1.519,1.524]","(12.4,12.9]","[0,0.165]","(1.565,1.92]","(73.3,75.4]","(0.085,0.605]","(11.2,12.9]","[0,0.255]","[0,0.075]",5
"(1.516,1.517]","(12.4,12.9]","[0,0.165]","(1.565,1.92]","(73.3,75.4]","(0.605,1.25]","(8.32,10.4]","[0,0.255]","[0,0.075]",5
"(1.519,1.524]","(13,13.5]","[0,0.165]","(1.565,1.92]","(72.9,73]","(0.085,0.605]","(11.2,12.9]","[0,0.255]","[0,0.075]",5
"(1.519,1.524]","(13,13.5]","[0,0.165]","(1.565,1.92]","(72.1,72.9]","(0.085,0.605]","(11.2,12.9]","[0,0.255]","[0,0.075]",5
"[1.511,1.516]","(13,13.5]","[0,0.165]","(2.95,3.5]","[69.8,71.3]","(4.46,6.21]","[5.43,7.02]","[0,0.255]","[0,0.075]",5
"[1.511,1.516]","(13,13.5]","[0,0.165]","(2.95,3.5]","[69.8,71.3]","(4.46,6.21]","[5.43,7.02]","[0,0.255]","[0,0.075]",5
"(1.519,1.524]","(13,13.5]","[0,0.165]","[0.29,1.405]","(72.1,72.9]","(0.085,0.605]","(11.2,12.9]","[0,0.255]","[0,0.075]",5
"(1.519,1.524]","(12.4,12.9]","(0.165,2.14]","(1.92,2.95]","(72.1,72.9]","(0.605,1.25]","(8.32,10.4]","[0,0.255]","(0.44,0.51]",5
"(1.519,1.524]","(13,13.5]","(0.165,2.14]","(1.405,1.555]","(73.3,75.4]","(0.085,0.605]","(11.2,12.9]","[0,0.255]","(0.115,0.36]",5
"(1.519,1.524]","(13.5,14.1]","(2.14,2.7]","(1.555,1.565]","(72.1,72.9]","[0,0.055]","(8.32,10.4]","[0,0.255]","[0,0.075]",6
"(1.519,1.524]","(13.5,14.1]","(2.14,2.7]","[0.29,1.405]","(72.1,72.9]","[0,0.055]","(8.32,10.4]","[0,0.255]","[0,0.075]",6
"(1.518,1.519]","(14.1,17.4]","(2.14,2.7]","(1.565,1.92]","(72.1,72.9]","[0,0.055]","(8.32,10.4]","[0,0.255]","[0,0.075]",6
"(1.518,1.519]","(13.5,14.1]","(2.14,2.7]","(1.565,1.92]","(72.1,72.9]","[0,0.055]","(8.32,10.4]","[0,0.255]","[0,0.075]",6
"[1.511,1.516]","(14.1,17.4]","(0.165,2.14]","(1.405,1.555]","(73.3,75.4]","[0,0.055]","(7.02,8.32]","[0,0.255]","[0,0.075]",6
"(1.518,1.519]","(14.1,17.4]","(0.165,2.14]","(1.565,1.92]","(72.1,72.9]","[0,0.055]","(8.32,10.4]","[0,0.255]","[0,0.075]",6
"(1.519,1.524]","(14.1,17.4]","[0,0.165]","(1.92,2.95]","(72.1,72.9]","[0,0.055]","(10.4,11.2]","[0,0.255]","[0,0.075]",6
"(1.519,1.524]","(14.1,17.4]","[0,0.165]","[0.29,1.405]","(73.3,75.4]","[0,0.055]","(10.4,11.2]","[0,0.255]","[0,0.075]",6
"[1.511,1.516]","(14.1,17.4]","[0,0.165]","[0.29,1.405]","(73.3,75.4]","[0,0.055]","[5.43,7.02]","[0,0.255]","[0,0.075]",6
"[1.511,1.516]","(13.5,14.1]","(2.7,3.34]","(1.565,1.92]","(72.1,72.9]","(1.25,4.46]","[5.43,7.02]","(0.335,1.96]","[0,0.075]",7
"(1.518,1.519]","(14.1,17.4]","(2.7,3.34]","(1.92,2.95]","[69.8,71.3]","(1.25,4.46]","[5.43,7.02]","(0.335,1.96]","[0,0.075]",7
"(1.519,1.524]","(13,13.5]","(2.7,3.34]","[0.29,1.405]","(72.1,72.9]","(0.085,0.605]","(8.32,10.4]","[0,0.255]","[0,0.075]",7
"(1.519,1.524]","(14.1,17.4]","(2.14,2.7]","(1.92,2.95]","[69.8,71.3]","(0.605,1.25]","(8.32,10.4]","[0,0.255]","[0,0.075]",7
"(1.519,1.524]","(14.1,17.4]","(0.165,2.14]","[0.29,1.405]","[69.8,71.3]","(0.085,0.605]","(8.32,10.4]","(0.335,1.96]","[0,0.075]",7
"(1.516,1.517]","(13.5,14.1]","(0.165,2.14]","(1.565,1.92]","(73,73.3]","[0,0.055]","(8.32,10.4]","(0.335,1.96]","[0,0.075]",7
"(1.516,1.517]","(14.1,17.4]","[0,0.165]","(1.92,2.95]","(73.3,75.4]","[0,0.055]","(8.32,10.4]","(0.335,1.96]","(0.075,0.105]",7
"(1.516,1.517]","(14.1,17.4]","[0,0.165]","(1.92,2.95]","(73.3,75.4]","[0,0.055]","(8.32,10.4]","(0.335,1.96]","(0.075,0.105]",7
"(1.517,1.518]","(14.1,17.4]","[0,0.165]","(1.92,2.95]","(72.9,73]","[0,0.055]","(8.32,10.4]","(0.335,1.96]","(0.075,0.105]",7
"(1.516,1.517]","(14.1,17.4]","[0,0.165]","(1.92,2.95]","(73.3,75.4]","[0,0.055]","(8.32,10.4]","(0.335,1.96]","[0,0.075]",7
"[1.511,1.516]","(14.1,17.4]","[0,0.165]","(1.92,2.95]","(73.3,75.4]","(0.055,0.085]","(8.32,10.4]","(0.335,1.96]","[0,0.075]",7
"[1.511,1.516]","(13.5,14.1]","[0,0.165]","(1.92,2.95]","(73,73.3]","(0.085,0.605]","(8.32,10.4]","(0.335,1.96]","[0,0.075]",7
"(1.517,1.518]","(14.1,17.4]","[0,0.165]","(1.92,2.95]","(73.3,75.4]","[0,0.055]","(8.32,10.4]","(0.335,1.96]","[0,0.075]",7
"[1.511,1.516]","(14.1,17.4]","[0,0.165]","(1.92,2.95]","(73,73.3]","[0,0.055]","(8.32,10.4]","(0.335,1.96]","[0,0.075]",7
"(1.516,1.517]","(14.1,17.4]","[0,0.165]","(1.92,2.95]","(73,73.3]","[0,0.055]","(8.32,10.4]","(0.335,1.96]","[0,0.075]",7
"[1.511,1.516]","(14.1,17.4]","[0,0.165]","(1.92,2.95]","(73.3,75.4]","[0,0.055]","(8.32,10.4]","(0.335,1.96]","[0,0.075]",7
"(1.516,1.517]","[10.7,12.4]","[0,0.165]","[0.29,1.405]","(73.3,75.4]","(1.25,4.46]","(8.32,10.4]","[0,0.255]","[0,0.075]",7
"[1.511,1.516]","(14.1,17.4]","[0,0.165]","(1.92,2.95]","(73.3,75.4]","[0,0.055]","(8.32,10.4]","(0.335,1.96]","[0,0.075]",7
"(1.516,1.517]","(14.1,17.4]","[0,0.165]","(1.92,2.95]","(73,73.3]","[0,0.055]","(7.02,8.32]","(0.335,1.96]","[0,0.075]",7
"(1.516,1.517]","(14.1,17.4]","[0,0.165]","(1.92,2.95]","(73.3,75.4]","[0,0.055]","(8.32,10.4]","(0.335,1.96]","[0,0.075]",7
"(1.517,1.518]","(14.1,17.4]","[0,0.165]","(1.565,1.92]","(72.9,73]","[0,0.055]","(8.32,10.4]","(0.335,1.96]","[0,0.075]",7
"(1.516,1.517]","(14.1,17.4]","[0,0.165]","(1.565,1.92]","(73,73.3]","[0,0.055]","(8.32,10.4]","(0.335,1.96]","[0,0.075]",7
"(1.518,1.519]","(14.1,17.4]","[0,0.165]","(1.565,1.92]","(72.1,72.9]","(1.25,4.46]","[5.43,7.02]","(2.54,3.01]","[0,0.075]",7
"(1.516,1.517]","(14.1,17.4]","[0,0.165]","(1.92,2.95]","(72.1,72.9]","[0,0.055]","(8.32,10.4]","(0.335,1.96]","[0,0.075]",7
"(1.516,1.517]","(14.1,17.4]","[0,0.165]","(1.92,2.95]","(72.1,72.9]","(0.055,0.085]","(8.32,10.4]","(0.335,1.96]","[0,0.075]",7
"(1.516,1.517]","(14.1,17.4]","[0,0.165]","(1.92,2.95]","(73,73.3]","[0,0.055]","(8.32,10.4]","(0.335,1.96]","[0,0.075]",7
"(1.519,1.524]","(14.1,17.4]","[0,0.165]","(1.92,2.95]","(73.3,75.4]","[0,0.055]","(8.32,10.4]","(0.335,1.96]","[0,0.075]",7
"(1.516,1.517]","(14.1,17.4]","[0,0.165]","(1.92,2.95]","(73.3,75.4]","[0,0.055]","(8.32,10.4]","(0.335,1.96]","[0,0.075]",7
"(1.516,1.517]","(14.1,17.4]","[0,0.165]","(1.92,2.95]","(73.3,75.4]","[0,0.055]","(8.32,10.4]","(0.335,1.96]","[0,0.075]",7
